idindikator;IDTer;nTer;IDTipNaselja;nTipNaselja;mes;god;IDVrPod;nVrPod;IDCOICOP;nCOICOP;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0300;Clothing and footwear;2392;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0300;Clothing and footwear;6.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;5674;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0400;Housing, water, electricity, gas and other fuels;16.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0500;Furnishings, household equipment and routine household maintenance;1724;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0500;Furnishings, household equipment and routine household maintenance;5;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0600;Health;1451;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0600;Health;4.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0700;Transport;3390;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0700;Transport;9.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0800;Communication;1193;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0800;Communication;3.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0900;Recreation and culture;2028;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0900;Recreation and culture;5.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;1000;Education;450;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;1000;Education;1.3;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;1100;Restaurants and hotels;496;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;1100;Restaurants and hotels;1.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;1200;Miscellaneous goods and services;1515;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;1200;Miscellaneous goods and services;4.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0000;Total;32785;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;O;Other;00;2006;1;RSD;0100;Food and non-alcoholic beverages;13621;;;SORS;Personal household consumption, monthly average;A;Normal value
